iter	Passed	Remaining
0	53	2344
1	54	1180
2	56	787
3	57	588
4	58	468
5	60	390
6	62	337
7	63	295
8	65	260
9	66	233
10	68	210
11	70	193
12	72	179
13	74	165
14	75	151
15	77	140
16	79	131
17	81	122
18	83	114
19	85	106
20	86	98
21	87	91
22	89	85
23	90	79
24	91	73
25	92	67
26	94	62
27	95	58
28	97	53
29	98	49
30	99	45
31	100	40
32	101	37
33	103	33
34	104	29
35	105	26
36	106	23
37	108	19
38	109	16
39	110	13
40	111	10
41	113	8
42	115	5
43	116	2
44	118	0
